Date,Agent,Place,Type,Deaths,T-I,Description / Reference,Source
1989,Cleaning fluid,UK,Chemical,0,C,Lan Tchiang sent her husband's lover a bottle of wine spiked with cleaning fluid. The woman noticed the seal was broken and did not drink the wine. ," Peter Green ""French team confirms poison in water supply"" UPI December 29 1989; William B. Ries ""Romania sheds decades of totalitarian rule"" UPI December 29 1989; James Adams ""Securitate's poison secret discovered"" The Sunday Times (London) February 4 1990"
1989,Glass  Agent,UK,Physical Contaminant,0,C,Heinz and Cow & Gate in Britain report 220 cases of tampering with baby food after five babies are treated in hospital. Glass and razor blades are found in the products and stores withdraw them from their shelves. ," Alan Dearn ""Poison 'Gift to Mistress'"" The Herald Sun November 27 1990"
1989,Rat Poison,UK,Chemical,0,C,Andrew Day tried to poison his wife by putting rat poison on her toast. ," Ben Dobbin “Baby Food Spiked Blackmail Demands Sent” AP April 26 1989; The Times (UK) “Government ‘will fight consumer terrorism;’ Parliament” April 27 1989; Rob Scully “Baby Food Removed after Sabotage Scare” Press Association August 12 1989; Amanda Mead & Janet Fife-Yeomans ""Food Terrorism"" The Weekend Australian February 15 1997"
1989,Selenium,UK,Chemical,1,C,A report in BMJ tells how a man was systematically poisoned by selenium in his food administered by his girlfriend over a period of many months. ," Press Association ""Jury Finds Rat Poison Case Husband Guilty"" October 26 1990"
1989,Unknown Poison,UK,Chemical,0,C/T,"A number of cartons of eggs in supermarkets in Coventry and London were suspected of being contaminated by members of ALF. ""Police found a pinhole next to a red ink mark on the shell with a label bearing the skull and crossbones and the message: 'Warning! Do not eat. These eggs have been poisoned. Contact Police. ALF.'"" "," See: The Times (London) ""Secret Poisoning Baffled Hospital"" July 29 1989"
1989,Unknown Poison,Ukraine,Unknown,8,C ,A serial poisoner Tamara Ivaniutina over a number of years poisoned her husband her in-laws during a meal and a teacher and a number of students while working as a dishwasher at a local school in Kiev. ," The Xinhua General Overseas News Service ""Woman in Kiev Found Guilty of Killing Eight with Poison"" April 13 1989"
1989,Arsenic,USA,Chemical,0,C,Blanche Taylor Moore. Second husband poisoned with arsenic; injured. ," See Paul Nowell ""Woman Convicted in Fatal Arsenic Poisoning"" AP November 15 1990; AP ""Judge denies request for new trial for woman on NC death row"" February 5 2004"
1989,Cyanide,USA,Chemical,0,C,A member of a cleaning crew at FDA Hector Cabassa  stole cyanide from a lab and put it in a water cooler in an attempt to kill his boss. Another co-worker became violently ill after drinking the water. ," Leslie Gevirtz ""Cyanide in water cooler in attempt to poison boss"" UPI June 28 1989"
1989,Rat Poison,USA,Chemical,0,C,Tammie L. Smith  fed her 2 yr old son rat poison in his cereal and ice cream. ," Jennifer Spevacek ""No suspects in death of woman"" The Washington Times November 22 1989"
1990,Prescription Drug,Australia,Chemical,0,C,"Samantha Carr a nursing assistant ""ground up a potentially lethal cocktail of tablets to give her patient in tea or over her food."" ", Herald Sun December 13 1990
1990,Insecticide,Israel,Chemical,0,Unknown,Two children were sickened after drinking insecticide-laced tap water; the water tank on top of their apartment building had been tampered with. Authorities found a second water tank also tampered with. ," Robert Rees ""Nationalist Motive Suspected; Two Kids Sick from Poisoned Water in Jerusalem"" The Jerusalem Post February 4 1990"
1990,Parathion,Israel,Chemical,0,C,A disgruntled employee at the Health Ministry in Jerusalem Fuad Assila put parathion into a bottle of milk at his workplace. One co-worker was injured. ," Ron Kampeas ""Garden-Variety Insecticide Poisons Clerk"" The Jerusalem Post January 19 1990; Ron Kampeas ""Police Seek Motive in Poisoning"" The Jerusalem Post January 26 1990"
1990,Thallium,Japan,Chemical,1,C,Masahiro Ito put 25 grams of thallium acetate into the coffee of his co-worker Ryoichi Nakamura in mid-December of 1990. Nakamura died February 14 1991. Ito had attempted on numerous occasions unsuccessfully to poison Nakamura. Ito and Nakamura were engineers at an animal testing facility at a university and had access to the thallium acetate. ," Mainichi Daily News ""Tokyo Univ. engineer poisoned colleague"" July 24 1993"
1990,Unknown,Netherlands,Chemical,1,C,"Six people at an Amsterdam nightclub had their drinks spiked. ""Dutch newspapers quoted hospital staff as saying the poison choked victims and made them hallucinate and foam at the mouth."" "," The Toronto Star ""Laced drink kills Canadian in club"" October 26 1990."
1990,Cyanide,UK,Chemical,1,C,A prostitute obsessed with cyanide was starting a life sentence today for the motiveless murder of a man she hardly knew. Tricia O'Mahoney 38 - whose lover supplied her with enough of the poison to kill 200 people - watched businessman Glyn Cooper die in agony on her kitchen floor after giving him cyanide-laced coffee.  ," Melvyn Howe ""Life for Prostitute 'Obsessed' with Cyanide"" Press Association March 21 1991"
1990,Rat Poison,UK,Chemical,0,C,"Ronald Wiles ""laced his 12-year-old stepson's steak pie with canary seeds covered in rat poison."" "," Pat Clarke ""Man Tried to Poison Stepson He Hated - Court Told"" Press Association June 4 1991"
1990,Cyanide,USA,Chemical,0,C,Snack food apparently laced with cyanide was delivered to the homes of six workers at Oak Ridge National Laboratory… No one has been harmed by the poisoned popcorn and peanuts left in mailboxes and newspaper boxes on Thursday and Saturday. ," UPI ""Poisoned snack food sent to lab employees"" April 11 1990"
1990,Rat Poison,USA,Chemical,0,C,A 14-year-old girl took revenge on two playmates by inviting them to a picnic and serving them a peanut butter and jelly sandwich and grape drink laced with poison police say… An 11-year-old girl had a stomach ache after taking several bites of the sandwich and a 9-year-old vomited after sipping the drink police said. ," AP ""Police Blame Vendetta by 14-Year-Old Girl for Picnic Poisoning"" September 26 1990"
1991,Pesticide,Israel,Chemical,0,C,Several jars of Gerber baby food were found contaminated with a pesticide containing Methomyl. One baby was injured.  ," David Rudge ""Ministry Asks Parents to be Alert Following Incident. Baby Food Poisons Infant"" The Jerusalem Post April 14 1991; David Rudge and Lea Levavi ""Gerber Officials Here to Probe Poisoning"" The Jerusalem Post April 17 1991; The Jerusalem Post ""Poisoned Struggle"" April 21 1991"
1991,Insecticide,Japan,Chemical,0,C/Ex,"A person or persons calling themselves ""Heavenly Heart"" apparently injected insecticide into a number of food products in an extortion attempt. On February 6 ""police found three chocolates laced with agricultural chemicals in a supermarket in the Chiba prefecture near Tokyo."" In another related incident police found "" chocolates and sweets with farm insecticides in Tokyo... Police believe the same group or person is responsible for poisoning bottled vegetable juice at another supermarket."" "," M. Franklin ""Poison-laced lollies scare"" Herald Sun February 22 1991"
1991,Pesticide,Japan,Chemical,0,C/Ex,Two packs of poisoned Yakult drinks were found at a store near Tokyo after an extortionist called the manufacturer with a warning. ," Japan Economic Newswire ""Poisoned Drink Found in Store"" February 9 1991"
1991,Rat Poison,UK,Chemical,0,C/Ex,James Rodwell sprinkled rat poison on a package of ground meat at a supermarket placed a red sticker on it then called the store manager in an extortion attempt. The rat poison he used was allegedly harmless to humans. ," Peter Victor ""Director poisoned supermarket beef"" The Times (London) March 7 1992"
1991,Mercuric Chloride,USA,Chemical,0,C,Gary Kosowsky a teacher gave five of his colleagues chocolates injected with mercuric chloride a toxic chemical used in pesticides. ," The Gazette (Montreal Quebec) ""Christmas candies brought teachers no cheer"" December 22 1991; AP ""Teacher Jailed on Attempted Murder Charges"" March 4 1992"
1991,Rat Poison,USA,Chemical,0,C,William Greene's ex-wife [Jetta Greene] broke into his house and sprinkled rat poison into his oatmeal. Greene saw suspicious brown particles and did not eat the oatmeal. ," UPI ""Ex-hubby smells a rat"" April 18 1991"
1991,Strychnine,USA,Chemical,0,C,A woman in West Virginia was hospitalized after drinking a can of tampered soda she bought from a vending machine. The can had been injected with strychnine. ," AP ""Officials Say Woman's Poisoned By Tainted Soda"" August 24 1991"
1991,Thallium,USA,Chemical,1,C,Joann Curley killed Robert Curley husband by giving him thallium-containing rat poison on over a dozen occasions. ," Peter Jackson ""Widow gets 10-20 years for killing husband with rat poison"" AP July 18 1997"
1991,Unknown Poison,USA,Chemical,0,C,A dozen jars of baby food were tampered with and contaminated leading to serious injury in one baby. The tamperings appeared to be limited to a single store. ," Ned Kilkelly ""Chemists test tampered baby food"" UPI October 19 1991"
1992,Paraquat,Australia,Chemical,1,C,Patricia Robertson murdered her foster son (whom she suspected of being a paedophile) by putting concentrated weed killer in some green ginger wine. ," Philip Johnson ""18 years for woman who poisoned her foster son"" The Age (Melbourne Australia) March 31 1994"
1992,Strychnine,Australia,Chemical,0,C,Kerry Henry Hewitt put strychnine crystals into the sugar for a woman's coffee at his apartment. ," Courier-Mail (Australia) ""Jailed for Lacing Sugar"" October 9 1993."
1992,Radioactive phosphorous-32 (P-32),Canada,Radiological,0,C,In 1992 a Toronto man Qing-Huai Zhu was convicted for taking a small amount of radioactive material from a hospital where he worked and contaminating his roommate's food. ," Donald Grant ""Police say worker found food radioactive Technician faces poisoning charge"" The Globe and Mail (Canada) November 30 1992; The Toronto Star ""Nuclear poisoning probe continues"" November 30 1992; Dale Brazao ""Radiation poisoning no threat to others"" The Toronto Star December 1 1992; Lisa Wright ""Sick Kids charged over lost radioactive vials"" The Toronto Star June 26 1993"
1992,Arsenic,China,Chemical,0,C,Li Yuan was expelled from her university. To take revenge she broke into the kitchen and arsenic into the school's flour. Reports differ as to quantity - one report states 2lbs the other 350 grams. Additionally earlier reports put the identity of Li as a man while later changes it to female.  ," AP ""More Than 500 Poisoned at Chinese School; No Deaths Reported"" June 21 1992; AP ""Police Arrest Suspect In School Arsenic Poisoning"" June 28 1992; AP Police Say Expelled Student Put Arsenic In School Cafeteria"" July 3 1992; UPI ""Nearly 800 Chinese poisoned in woman's revenge"" July 3 1992; Reuters ""Chinese Student Attempts Mass Murder"" 13 August 1992"
1992,Thallium,Iraq,Chemical,0,S,Abdallah Abdelatif and Abd al-Karim al-Masdiwi. The ex-Iraqi army officers were poisoned with thallium (either in Iraq or Syria). They were granted visas in Damascus and flown to UK for treatment. ," Richard Duce ""Saddam's soldiers tested for poison"" The Times (London) April 24 1992"
1992,Insecticide,Israel,Chemical,1,C,A wife [Kochava Levy] and neighbour [Hadara Yahav] killed her husband by poisoning his drink with insecticide. This followed two previously unsuccessful attempts over the previous fortnight to kill him by mixing rat poison in the first attempt and insecticide in the second into his meals. ," The Jerusalem Post ""Murder said to be third attempt Wife charged in poisoning"" October 11 1992"
1992,Rat Poison,Israel,Chemical,0,C,"Rashid Zada ""sprinkled rat poison on ground meat and injected bug spray into watermelons vegetables and chicken soup mix."" No one was injured in these incidents due to the small amount of poison used. "," Bill Hutman ""East Jerusalem man arrested for injecting poison into shop food"" The Jerusalem Post September 15 1992; AP ""Police Say Arab Worker Confessed To Poisoning Food At Grocery"" September 15 1992"
1992,Pesticide,Thailand,Chemical,2,C,Sanong Jankoong laced fried noodles with pesticide killing two children. Report notes more were injured but does not give a number. ," AP ""Girl Poisoned to Death by Jealous Stepmother"" January 18 1992"
1992,Potassium Cyanide,Turkey,Chemical,0,T,The PKK put cyanide into the water tanks of a Turkish airbase. Officials say they found two 25lb empty boxes of cyanide near the tank. ," Reuters ""Turks Report Attempt to Poison Air Force Unit"" 28 March 1992; Alexander Chelysev ""Terrorists Poison Water in Turkish Army Cantonment"" TASS 29 March 1992"
1992,Arsenic,UK,Chemical,1,C,Mohammed Azam Bradford poisoned by his girlfriend  Zoora Shah via arsenic in his meal. ," Daily Mail (London) ""Arsenic Killer"" December 22 1993"
1992,Prescription Drug,UK,Chemical,0,C,Francis Murtagh laced sherbet sweets with crushed up prescription drugs (Depression/Blood Pressure). ," Press Association ""'Jealous Father' Tried to Poison Sons"" October 7 1993"
1992,Rat Poison,UK,Chemical,0,C,Two youths 14 and 15 at an Edinburgh children’s home put rat poison on food at the home. The poison was notice by a social worker. The quantities may not have been large enough to harm anyone. ," The Herald (Glasgow) ""Boys put rat poison on toast"" February 18 1993"
1992,Rat Poison,UK,Chemical,0,C,"Michael Lloyd a disgruntled ex-employee planted rat poison in bags of frozen french fries. However there was little chance the public would be exposed as ""Lloyd approached staff at Asda Gateway and Tesco with opened bags of McCain Oven Chips spiked with sachets of rat poison. He complained he found the poison in the food but did not stop to give his name and address. The stores destroyed the contaminated bags."" "," Press Association ""Sacked Food Executive Admits Poison Revenge Plot"" January 4 1993;"
1992,Antifreeze,USA,Chemical,1,C,Bobbie Jan Nicholson gave her husband a drink spiked with antifreeze. ," AP ""Woman Convicted of Antifreeze Poisoning of Husband"" February 13 1994"
1992,Arsenic,USA,Chemical,1,C,"Georgia Weaver slowly poisoned her sister over a period of time by lacing her food with arsenic. ""The label on the bottle of Cowley's Original Rat and Mouse Poison says it is 98 percent arsenic trioxide."" "," Joel Williams ""Woman Accused of Killing Her Sister With Arsenic"" AP December 29 1993"
1992,Drain Cleaner,USA,Chemical,0,C,A man [Terry Paul Pavlu] accused of mixing a lunch of mistletoe berries drain cleaner and spaghetti for his wife is being tried for attempted murder. ," AP ""Woman Says Ex-Husband Tried To Poison Her With Mistletoe Berries"" October 15 1992"
1992,Insecticide,USA,Chemical,0,C,Elizabeth Fuentes Ortiz put insecticide into her husband's milkshake putting him into a coma. ," Jessie Seyfer ""Woman convicted for slipping pesticide into husband's shake"" San Jose Mercury News February 5 2002; Bob Egelko ""Conviction upheld for toxic milk shake"" The San Francisco Chronicle 2 April 2004"
1992,Thallium,USA,Chemical,0,C,Filip Semey sent marzipan tainted with rat poison containing thallium to two students. Five women were injured after eating the marzipan. ," AP ""Belgian Student Arrested for Sending Poison Candy"" December 22 1992"
1993,Rat Poison,Australia,Chemical,0,C,Peter Dwyer poisoned his wife and his lover's husband over a period of five months by slipping rat poison into their coffee. ," Courier-Mail (Australia) ""Love Adultery and Poison-Laced Coffee"" March 4 1994."
1993,Sewing Needles,Australia,Physical Contaminant,0,C,Sewing needles are found in three packets of Samboys crisps and CCs sold in Tasmania and Victoria.  ," Amanda Mead & Janet Fife-Yeomans ""Food Terrorism"" The Weekend Australian February 15 1997"
1993,Rat Poison,Cameroon,Chemical,15,C,A man's[Pierre Wazan] attempt to poison his uncle following a family row left 15 people dead and 12 hospitalized in serious condition… After an argument with his uncle Wazan put rat poison into a peanut sauce his aunt was preparing Saturday in the northern Mindil area of this central African nation police said. But his aunt used the sauce a common base for African dishes to prepare food she sold at an outdoor market. The uncle didn't eat any of it. ," AP ""Poisoning In Family Row Kills 15"" May 3 1993"
1993,Digoxin,Canada,Chemical,0,C,Maria Boniello laced her husband's food with the heart drug Digoxin over a two-year period. ," The Toronto Star ""Wife charged with attempting to poison man"" April 10 1993"
1993,Various,Croatia,Chemical,0,C,"36 Canadian troops stationed in Croatia attempted to poison an NCO's ""coffee and food during his seven-month tour with a cocktail of toxic substances mostly boot polish naphtha gas fly repellent antifreeze laxative and battery acid."" "," Stephanie Rubec ""Poison Payback Report Confirms Troops Spiked NCO's Food"" The Toronto Sun January 20 2001; Jeff Sallot “Officer poisoned by own platoon; Canadians on duty in Bosnia involved” The Globe and Mail (Canada) May 31 2000."
1993,Acetone,Cyprus,Chemical,0,C,Maria Martin the wife of a grocer went to a competing store and was caught trying to sprinkle acetone on foodstuffs. ," The Globe and Mail (Canada) ""Dietitian jailed over bid to poison food"" August 14 1993"
1993,Rat Poison,Israel,Chemical,0,C,The sister-in-law of a police informer Bahader Abu Hatzera  put rat poison in his coffee. ," Raine Marcus ""Informer's sister-in-law held for poisoning his coffee"" The Jerusalem Post November 22 1993"
1993,Unknown Poison,Philippines,Chemical,3,C/War,Philippines troops overran a MILF village in Salama and became sick after drinking from a well poisoned by retreating MILF rebels. ," UPI ""Poisoned well kills three soldiers sickens 25 others"" December 3 1993"
1993,Barium,USA,Chemical,1,C,Marie Robards stole barium from her high school chemistry lab and placed it in her father's meal. ," AP ""Teen-Age Girl Arrested in Father's 1993 Poisoning Death"" October 20 1994"
1993,Cyanide,USA,Chemical,1,C,Police believe someone spiked Julien Balogh's coffee with cyanide. No further information could be found of the result of police investigation. ," David Hancock """"Police: Jeweler was Poisoned"" Miami Herald May 18 1994; AP ""Poisoning Suspected in '93 Death"" 19 May 1984; Sydney P. Freedburg ""Who Slipped Cyanide into Millionaire Jeweler's Café"" Miami Herald September 11 1994."
1993,Xylazine,USA,Chemical,0,C,Stanley Zukowski  placed the animal tranquilizer in his children’s' drinks. ," UPI ""Veterinarian allegedly poisons five children"" January 4 1993"
1994,Rohypnol,Hong Kong,Chemical,0,C,"Between July 19 2004 and February 20 ""[Kwok Yuk-ho] injected 10 containers of Vita lemon or chrysanthemum tea with the sleeping drug Rohypnol… He would shadow his victims after they had bought the doctored drinks from 7 -Eleven or Circle K convenience stores until the drug began to take hold. Their wallets would then be taken."" "," Charlotte Parson ""Ex-warder who doctored drinks jailed for 14 years"" South China Morning Post (Hong Kong) December 19 1995"
1994,Thallium,Iraq,Chemical,0,S,"Name is put as ""Safa al-Battat"" and ""Saba Al Batat."" ""A former special forces officer who became a guerrilla leader is being treated for thallium sulphate poisoning in Britain. Major Safa al-Battat 31 fell ill in December after a visit to his headquarters in Kurdistan...Another member of the opposition Iraqi National Congress died from the poison last Saturday according to an Iraqi source.""  "," Patrick Cockburn ""Iraq uses poison on political opponents"" The Independent (London) February 1 1995; Press Association ""Iraqi Defector Treated in Britain"" January 30 1995"
1994,Atropine,UK,Chemical,0,C,Dr. Paul Agutter spiked bottles of tonic water to cover up murder attempt on wife. 55000 bottles recalled. ," Alan Crow and Stephen Rafferty ""Doc's Plea to Trap Poisoner; Tonic water poisoner could be The Raven who blackmailed Safeway in 1987"" The Daily Record (UK) August 30 1994; The Scotsman ""Husband in court on poison charges"" September 14 1994; Daily Record (UK) ""Poison Tonic Trial is Put Off"" December 23 1994;"
1994,Bleach/Painkillers,UK,Chemical,0,C,A disturbed 13yr old repeatedly poisoned her mother on at least seven occasions using painkillers and on one occasion bleach mixed in with her food and drinks. ," Press Association ""Lock Up My Daughter - She's Trying to Kill Me."" March 20 1994"
1994,Pharmaceutical Drugs,UK,Chemical,1,C,Dena Thompson crushed antidepressants in her husband's curry and aspirin in his drinks in order to murder him on his birthday. ," Frances Gibb ""'Black Widow' Sentence Extended"" The Times (London) December 24 2007"
1994,Sodium Azide,UK,Chemical,0,C,"Angus Lamb  returning to Scotland after serving a four year sentence for robbery in Canada spiked the sugar bowl at his family's home with Sodium Azide in an attempt to flee the country with the family's car and valuables. ""Lamb had previously worked in a company where there was access to the chemical and it had been in the house for a long time."" "," The Scotsman ""Relatives Poisoned to Ease Escape"" October 7 1994"
1994,Cyanide,USA,Chemical,1,C,Michelle Barrett poisoned her husband by spiking his orange juice with cyanide. ," AP ""Woman Accused of Slipping Cyanide in Husband's Juice"" November 4 1994"
1994,Rat Poison,USA,Chemical,0,C,Shirley Lee Barksdale poisoned her husband on a number of occasions in May and June 1994 using rat poison in order to marry a younger man. ," Arlo Wagner ""Still not thinking poisonous thoughts; But would be-victim thinks wife's guilty"" The Washington Times June 28 1994"
1995,Rat Poison,Bangladesh,Chemical,2,C,Halima Begum and Panna Bibi mixed rat poison into the meals of family members. ," United News of Bangladesh ""Murder-Trial"" 26 August 2003"
1995,Paraquat,Brunei,Chemical,2,C,Wong San Nee killed her two children by putting paraquat into their drinks. ," George Francis ""Mother 31 jailed for poisoning children"" Borneo Bulletin 15 April 1997"
1995,Rat Poison,China,Chemical,18,C,"Du Runqiong and Tang Youhua in addition killed 3100 chickens 243 pigs 300 fish 10 oxen over a period of months. ""Du said she started her crusade to ''cleanse the world'' in June by killing the oxen pigs all the fish in local ponds and the thousands of chickens…Du said she crept about at night spreading poison over vegetables in farms. The sight of people eating at a porridge shop prompted her to pour 10 bottles of poison into the gruel for three days in a row. Two people had died and 38 were hospitalized by September… She admitted sneaking into 20 homes and smothering cooking ingredients with poison. In November she said she purchased more poison and wandered around the food markets in the village of Jinli spreading lethal doses over meat cutting boards and sausages. Police found hidden stores of poisoned rice and tea in her home when they arrested her last month."" "," UPI “Chinese Police Nab Mass Poisoner” December 15 1995; South China Morning Post (Hong Kong) “Mother and Son Confess Poisoning” December 23 1995; UPI ""Mother who poisons 18 sentenced to death"" December 28 1995; UPI “China Executes Mother-Son Poison Team” January 10 1996."
1995,Thallium,China,Chemical,0,C,Zhu Ling was poisoned by thallium a case which baffled doctors until her classmates sent emails to various Usenet groups asking for assistance. ," Tan Tarn How ""US Doctors Offer Help to Chinese Girl After Internet SOS Call"" The Straits Times (Singapore) April 25 1995; Xinhua News Agency ""Girl Student Involved In Rare Poisoning Case"" June 25 1995; Newsbytes ""China - Mystery Ailment Diagnosed via Internet"" September 8 1995; Jessie Tao ""Lab Poisoning Mystery Triggers Debate"" China Daily Online January 1 2006 available at: http://www.chinadaily.com.cn/china/2006-01/13/content_533809.htm ; The original email her classmates sent can be found at: China News Digest - US April 10 1995 available at: http://museums.cnd.org/CND-US/CND-US.95/CND-US.95-04-11.html"
1995,Aconite,Japan,Chemical,1,C,Convicted: Shigeru Yagi Mayumi Take Takako Morita. The three killed Shuichi Sato in an insurance scam by feeding him a sweet-bean bun spiked with monkshood herb (which contains aconite). ," Japan Economic Newswire ""4 people indicted over 1995 Saitama poisoning"" December 13 2000; Japan Economic Newswire ""Prosecutors seek life term in murder-for-insurance case"" November 20 2001"
1995,Insecticide,Kuwait,Chemical,0,C,Two Sri Lankan maids angry at being mistreated by their employer put insecticide in the employer's baby's food on two occasions. ," Deutsche Presse-Agentur ""Two Sri Lankans maids given life terms for trying to poison baby"" October 28 1995"
1995,Cyanide,Singapore,Chemical,0,C,Sugar was contaminated with cyanide at National University of Singapore (NUS) Chemistry Dept. No suspect was ever found. ," Brendan Pereira ""NUS staff hit by cyanide poisoning after taking sugar"" The Straits Times (Singapore) February 24 1995"
1995,Cyanide,Tajikistan,Chemical,15,T,Champagne purchased outside a Russian military base was tainted with cyanided killing a number of Russian peacekeepers and officials as well as civilians. One report quotes an unnamed security official stating that the wine came from a licenced supplier indicating that the contamination was intentional while other reports note that locally bottle liquor in the region is often unintentionally adulterated. The BBC translation of an Interfax (Russian) reports that the results of an investigation would determine whether this was a case of intentional adulteration of the champagne or whether the accidental byproduct of poor locally-manufactured and bottled champagne. ," UPI ""Champagne kills 10 in Tadzhikistan"" January 2 1995; Reuters “Poisoned champagne kills 10 in Tajikistan” January 2 1995; Agence France-Presse “Six Russian Soldiers Killed by Islamic Rebels in Tajikistan” January 3 1995; Charleston Daily Mail “Death Toll Mounted Today in a Poisoning Case” January 3 1995; Yuri Kushko “Tajik rebels kill seven take hostages in raid” Reuters January 3 1995; BBC Monitoring Service “Death Toll in Champagne Poisoning Rises to 15” January 6 1995; The Guardian (UK) “Tajik Struggle is Lethal Brew for Moscow” February 11 1995."
1995,Weed Killer,UK,Chemical,0,C,Peter Tyrell put poison in a co-worker's orange juice and coffee. Sodium chlorate weed killer. ," Press Association ""'Obsessed' Executive Jailed for Poisoning Woman"" September 15 1995"
1995,Antifreeze,USA,Chemical,1,C ,Lynn Turner was convicted of killing her husband apparently by putting antifreeze in his Jell-O. ," Harry R. Weber ""Ga. Jury Convicts Woman in 1995 Poisoning"" AP May 14 2004"
1995,Copper Sulfate,USA,Chemical,0,C,A 14 yr old boy in Kansas put the copper sulfate crystals in his teacher's coffee. ," AP ""Eighth-Grader Accused of Poisoning Teacher"" February 8 1995"
1995,Herbicide,USA,Chemical,0,C,"Bradley Allen Puthoff snuck into a co-worker's apartment in Sioux Falls SD and put Roundup-brand herbicide in a family of three's ""cottage cheese applesauce and juice"". Reports say dosages were not at a fatal level. "," Joe Kafka ""Inmate who tried to poison family denied parole"" AP February 26 2002"
1995,Insecticide ,USA,Chemical,0,C,Donald William Bradley laced a box of Rice-a-Roni marked it with a red dot placed it in a supermarket and called the manager in an extortion attempt. Testing found it to contain two insecticide ingredients - diazinon and piperonyl butoxide. ," UPI ""Suspected food tamperer indicted"" December 15 1995"
1995,Radioactive phosphorous-32 (P-32),USA,Radiological,0,C,An MIT researcher was apparently intentionally contaminated with P-32. ," Meg Vaillancourt ""Poisoning at MIT was intentional probe finds"" The Boston Globe December 11 1995"
1995,Radioactive phosphorus-32 (P-32),USA,Radiological,0,C,At the NIH labs food and a water cooler were contaminated with P-32 affecting a pregnant scientist (who believed she was the target) and 26 of her co-workers. ," Brian Mooar ""Pregnant NIH Scientist Calls Radiation Poisoning Deliberate"" The Washington Post October 10 1995; The New York Times ""Radioactive Poisoning Alleged"" October 11 1995; John Schwartz ""What HAPpened in Room 5C25?"" The Washington Post November 5 1995; Brian Mooar ""NIH Is Ordered to Pay Penalty"" The Washington Post July 28 1997; Jocelyn Kaiser ""NIH Case Ends With Mysteries Unsolved"" Science Vol. 277. no. 5334 p. 1920 26 September 1997; Nature ""NIH Inquiry Fails to Find Culprit of Contamination"" Vol. 389 October 2 1997;"
1995,Ricin,USA,Biological,0,C,"Dr. Debora Green was accused of poisoning her husband with ricin although the Center for Nonproliferation Studies' Chronology of Incidents Involving Ricin notes that it is not clear if Green ""extracted the ricin or merely added the beans to the food."" "," Amy Lignitz ""Doctor-Mother Charged With Killing Two Children; Poisoning Husband"" AP December 15 1995; Chronology of Incidents Involving Ricin Center for Nonproliferation Studies February 3 2004 available at: http://cns.miis.edu/pubs/reports/ricin_chron.htm"
1996,Rat Poison,Jordan,Chemical,1,C,Raya Musa and Hassan Faleh served Musa's husband food laced with rat poison. ," Reuters ""Jordanian lovers to hang for rat poison murder"" 20 November 1996"
1996,Insecticide,Spain,Chemical,0,C,A wife poisoned her husband over the course of a year by putting ant poison in his food in Valencia. ," Deutsche Presse-Agentur ""Woman poisons husband for calling her fat"" January 21 1997"
1996,Radioactive phosphorus-32 (P-32),Taiwan,Radiological,0,C,A young male graduate student in the Institute of Plant Pathology in a public university in mid Taiwan was warned by his classmate that he had been repeatedly poisoned with undetermined amounts of P-32 in early 1996. According to the laboratory diary provided by this specific classmate various amounts of P-32 and laboratory chemicals including acrylamide were put into his drinking cup and eating utensil in the laboratory approximately 30 times since October1994. The Plant Pathology laboratory was reported not to have used any radio isotope in its experiments. TheseP-32 sources were inappropriately taken from other central molecular biological laboratories in the same university.  ," J.H. Chao et al. ""Dose Estimation for Repeated Phosphorus-32 Ingestion in Human Subjects"" Applied Radiation and Isotopes 54 (1) 2001 p.124; This case is also mentioned in Hamid Mohtadi and Antu Murshid's A Global Chronology of Incidents of Chemical Biological Radioactive and Nuclear Attacks: 1950-2005 although the location is identified as China."
1996,Shigella,USA,Biological,0,C,Diane Thompson tainted pastries with shigella and gave them to her co-workers. ," AP ""Hospital employee accused of feeding co-workers poisoned pastries"" September 11 1998; S. A. Kolavic et al. ""An Outbreak of Shigella dysenteriae Type 2 Among Laboratory Workers Due to Intentional Food Contamination"" JAMA August 6;278(5)pp. 396-398; Seth Carus Bioterrorism and Biocrimes: The Illicit Use of Biological Agents Since 1900 Center for Counterproliferation Research National Defense University Washington D.C. p.44"
1997,Insecticide,Australia,Chemical,0,C,Luan Van Luu was jailed for attempted murder when he laced her dinner with insecticide. The woman was put off by the strange smell and did not eat the meal. ," The Advertiser ""Man jailed for trying to kill wife with poison"" July 17 1997"
1997,Insecticide,Australia,Chemical,0,C/Ex,Mark James Milton an ex-police officer left a tainted tub of yogurt and a jar of coffee at two separate supermarkets in Bondi and Sydney in an extortion attempt. ," Naomi Toy ""Ex-policeman put poison in yoghurt"" The Daily Telegraph (Sydney Australia) November 22 1997"
1997,Cyanide,Germany ,Chemical,0,C/Ex,"Thomy a subsidiary of Nestle was the target of an extortion attempt. Three supermarkets in the German towns of Saarbruecken Bremen and Regensburg were closed after the extortion threat and a single bottle of mustard spiked with cyanide was found. In a separate incident the same extortioner ""buried boxes of milk-based drinks spiked with acid in a sandbox at a playground in Cologne potentially endangering the lives of small children"" and may have placed more contaminated foodstuffs on store shelves that were not publicly revealed. "," Deutsche Presse-Agentur """"Police check Thomy food products for poison in blackmail case"" April 9 1997; AP ""Court convicts man of poisoning food blackmailing sentenced to 11 years"" September 23 1999"
